ItemID,Sentiment,SentimentText,text_clean,polarity,subjectivity,sentiment_label,compound,negative,positive,neutral
22,0,    wompppp wompp,wompppp wompp,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
23,1,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,Youre only this cause else following this because youre pretty awesome,0.3125,0.775,Positive,0.8074,0.0,0.448,0.552
24,0,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,ltSad level writing massive blog tweet Myspace comp shut down lost lays fetal position,-0.07777777777777779,0.6444444444444445,Negative,-0.3182,0.15,0.0,0.85
25,0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,Headed Hospitol pull Golf Tourny place Think ReRipped something Yeah THAT,0.0,0.0,Neutral,0.296,0.0,0.18,0.82
26,0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,BoRinG whats wrong with Please tell,-0.75,0.95,Negative,-0.4767,0.505,0.215,0.28
27,0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,cant bothered wish could spend rest life just here going gigs seriously,-0.3333333333333333,0.6666666666666666,Negative,-0.2491,0.265,0.132,0.603
28,0,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",Feeeling like shit right really want sleep nooo have hours dancing assignment finish,0.09523809523809523,0.511904761904762,Positive,-0.1298,0.203,0.231,0.565
29,1,"   goodbye exams, HELLO ALCOHOL TONIGHT ",goodbye exams HELLO ALCOHOL TONIGHT,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
30,0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,didnt realize THAT deep Geez give girl warning atleast,0.0,0.4,Neutral,-0.34,0.231,0.0,0.769
31,0,   I hate it when any athlete appears to tear an ACL on live television.,hate when athlete appears tear live television,-0.33181818181818185,0.7,Negative,-0.5719,0.381,0.0,0.619
32,0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,miss guys think wearing skinny jeans cute sweater heels really sure what doing today,0.5,0.9444444444444444,Positive,0.6115,0.088,0.307,0.605
33,0,  -- Meet your Meat http://bit.ly/15SSCI,Meet your Meat http bitly 15SSCI,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
34,0,   My horsie is moving on Saturday morning.,horsie moving Saturday morning,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
35,0,   No Sat off...Need to work 6 days a week ,offNeed work days week,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
36,0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,Really Dont Like Doing Room Boring Sick Doing Wardrobe Cant Waiit Till Have Walk,-0.5047619047619047,0.6857142857142856,Negative,-0.7899,0.421,0.0,0.579
37,0,"   SOX!     Floyd was great, but relievers need a scolding!",Floyd great relievers need scolding,0.8,0.75,Positive,0.7269,0.0,0.67,0.33
38,0,   times by like a million,times like million,0.0,0.0,Neutral,0.3612,0.0,0.556,0.444
39,1,   uploading pictures on friendster ,uploading pictures friendster,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
40,0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,what type spaz downloads virus brother thats fucked forever,-0.6,0.7,Negative,-0.6597,0.355,0.0,0.645
41,0,  &amp;&amp;Fightiin Wiit The Babes...,ampampFightiin Wiit Babes,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
42,1,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7,wrote something last week call from someone york office http tumblrcom xcn21w6o7,0.0,0.06666666666666667,Neutral,0.0,0.0,0.0,1.0
43,0,  *enough said*,enough said,0.0,0.5,Neutral,0.0,0.0,0.0,1.0
44,1,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    ",need even Well here anyways CHRIS CORNELL CHICAGO TONIGHT,0.0,0.0,Neutral,0.2732,0.0,0.208,0.792
45,1,  ... health class (what a joke!),health class what joke,0.0,0.0,Neutral,0.296,0.0,0.423,0.577
46,1,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT,ginaaa SHOW TONIGHT,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
47,0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,Spiralgalaxy YMPtweet really makes when look Muslims reality,0.2,0.2,Positive,0.0,0.0,0.0,1.0
48,0, - All Time Low shall be my motivation for the rest of the week.,Time shall motivation rest week,0.0,0.0,Neutral,0.34,0.0,0.375,0.625
49,0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",entertainment over someone complained properly rupturerapture experimental should experiment with melody,-0.06666666666666667,0.23333333333333336,Negative,0.0258,0.186,0.193,0.621
50,0,  another year of Lakers .. That's neither magic nor fun ...,another year Lakers Thats neither magic,0.5,1.0,Positive,0.0,0.0,0.0,1.0
51,0,  baddest day eveer. ,baddest eveer,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
52,1,  bathroom is clean..... now on to more enjoyable tasks......,bathroom clean more enjoyable tasks,0.45555555555555555,0.6000000000000001,Positive,0.7089,0.0,0.663,0.337
53,1,  boom boom pow,boom boom,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
54,0,  but i'm proud.,proud,0.8,1.0,Positive,0.4767,0.0,1.0,0.0
55,0,  congrats to helio though,congrats helio though,0.0,0.0,Neutral,0.5267,0.0,0.63,0.37
56,0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,David must hospitalized five days July palatine tonsils will probably never Katie concert,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
57,0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,friends leaving cause this stupid love http bitly ZoxZC,-0.14999999999999997,0.8,Negative,0.5106,0.231,0.422,0.347
58,1,  go give ur mom a hug right now. http://bit.ly/azFwv,give right http bitly azFwv,0.2857142857142857,0.5357142857142857,Positive,0.0,0.0,0.0,1.0
59,1,  Going To See Harry Sunday Happiness ,Going Harry Sunday Happiness,0.7,0.2,Positive,0.5574,0.0,0.545,0.455
60,0,  Hand quilting it is then...,Hand quilting then,0.0,0.0,Neutral,0.4939,0.0,0.615,0.385
61,0,  hate u ...  leysh t9ar5 ... =((((((( ..,hate leysh t9ar5,-0.8,0.9,Negative,-0.5719,0.649,0.0,0.351
62,1,=-  I always get what I want,always what want,0.0,0.0,Neutral,0.0772,0.0,0.394,0.606
63,1,  I bend backwards  ,bend backwards,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
64,1,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!,work sooooon miss cody booo havent seen foreverr,0.0,0.0,Neutral,-0.1531,0.186,0.0,0.814
65,1,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...,hate allergies Should hair tomorrow taking public poll,-0.4,0.48333333333333334,Negative,-0.5719,0.346,0.0,0.654
66,0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us,love guys much that hurts http tumblrcom xkh1z19us,0.35,0.4,Positive,0.2732,0.233,0.316,0.451
67,0,  I miss Earl,miss Earl,0.0,0.0,Neutral,-0.1531,0.615,0.0,0.385
68,0,  I miss New Jersey,miss Jersey,0.0,0.0,Neutral,-0.1531,0.615,0.0,0.385
69,0,"  I missed the first hour of SYTYCD last night, and I can't find it online!",missed first hour SYTYCD last night cant find online,0.125,0.19999999999999998,Positive,-0.296,0.216,0.0,0.784
70,0,  I need a U2 fix NOW!,need,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
71,0,  I never thought I'd become second choice...,never thought become second choice,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
72,0,  I think I may be too friendly...lol... o well...,think friendlylol well,0.0,0.0,Neutral,0.2732,0.0,0.512,0.488
73,0,  I think Manuel (my Basil plant) only has days to live   ,think Manuel Basil plant only days live,0.06818181818181818,0.75,Positive,0.0,0.0,0.0,1.0
74,0,  I wanna be at home @ church...I wonder wht they are doing?,wanna home churchI wonder they doing,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
75,0,  i wanna make my own pizza,wanna make pizza,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
76,0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x",want 120gb harddrive inch guitar anyonefeeling generous,0.0,0.0,Neutral,0.5574,0.0,0.479,0.521
77,0,  i want a hug,want,0.0,0.0,Neutral,0.0772,0.0,1.0,0.0
78,0,  I want Miley to tour Australia,want Miley tour Australia,0.0,0.0,Neutral,0.0772,0.0,0.302,0.698
79,0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,wanted sleep this morning mean through popsicle stick head wish could away like those squirrels,-0.3125,0.6875,Negative,0.6369,0.0,0.286,0.714
80,0,  i was too slow to get $1 Up tix,slow,-0.30000000000000004,0.39999999999999997,Negative,0.0,0.0,0.0,1.0
81,0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat",will send sunshine Northern Ireland going swimming today kezbat,0.0,0.0,Neutral,0.4939,0.0,0.286,0.714
82,0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   ,wish could Beach Would great ShontelleLayne DanMerriweather,0.8,0.75,Positive,0.7783,0.0,0.576,0.424
83,0,"  i would be so much happier if the walls of my bedroom were painted white,",would much happier walls bedroom were painted white,0.1,0.1,Positive,0.5267,0.0,0.327,0.673
84,0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall,trust sorry pain have caused nebody take time straighten myself yall,-0.5,1.0,Negative,-0.0772,0.289,0.208,0.503
85,0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me,finding intercept slopeand banging head against wallMath brain heads come save,0.0,0.0,Neutral,0.4939,0.0,0.242,0.758
86,1,  I'm really going to bed now...,really going,0.2,0.2,Positive,0.0,0.0,0.0,1.0
87,0,  im sick  'cough cough',sick cough cough,-0.7142857142857143,0.8571428571428571,Negative,-0.5106,0.623,0.0,0.377
88,0,  in cab headed to the airport!  going home.... &lt;christy&gt;,headed airport going home ltchristygt,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
89,0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work,case feel camp feeling bringing Human Rights Watch World Report 2009hope itll work,0.0,0.1,Neutral,0.128,0.0,0.111,0.889
90,1,  Jin has a twitter.,twitter,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
91,0,  jonas day is almost over... ,jonas almost over,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
92,0,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,Funeral Cried Much Times Much Love Grandpalt3 Never Last quotGoodbyequot,0.2333333333333333,0.2888888888888889,Positive,0.0258,0.313,0.258,0.429
93,1,  just gonna smile...cuz it is what it is..and im not sure what more they could want..,just gonna smilecuz what isand sure what more they could want,0.5,0.6944444444444444,Positive,0.4336,0.0,0.3,0.7
94,1,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy.",Just home friend Zahra whom havent seen since graduated That makes happy,0.8,1.0,Positive,0.7845,0.0,0.408,0.592
95,0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6,Longest night ever http tumblrcom xwp1yxhi6,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
96,0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!,momacita wont bball game grrr,-0.55,0.6000000000000001,Negative,0.0762,0.0,0.245,0.755
97,0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,says have phone IMMEDIATELYoff TMobile paying,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
98,0,  My new car was stolen....by my mother who wanted to go pose at church.,stolenby mother wanted pose church,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
99,0,"  no hang out with the girls 2day. 2moro, hope so......",hang with girls 2day 2moro hope,0.0,0.0,Neutral,0.4404,0.0,0.367,0.633
100,0,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!,movie times sunday Rats will have plan tomorrow guess this means have work those presentations doing,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
101,0,  no pavel tonight &lt;Tigersfan &gt;,pavel tonight ltTigersfan,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
102,0,  not a cool night.,cool night,0.35,0.65,Positive,0.3182,0.0,0.697,0.303
103,1,  oh thank you!,thank,0.0,0.0,Neutral,0.3612,0.0,1.0,0.0
104,1,  pleased,pleased,0.5,1.0,Positive,0.4404,0.0,1.0,0.0
105,0,  probably guna get off soon since no one is talkin no more,probably guna soon since talkin more,0.5,0.5,Positive,0.0,0.0,0.0,1.0
106,0,  really wanted Safina to pull out a win &amp; to lose like that...,really wanted Safina pull lose like that,0.2,0.2,Positive,-0.0516,0.265,0.245,0.49
107,0,"  RIP, David Eddings.",David Eddings,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
108,1,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.,Rose will back Xmas special Damn thats half year away,0.1976190476190476,0.4220238095238095,Positive,0.0,0.201,0.201,0.597
109,0, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8,sannesias neighbor need watch Mean Girls http tumblrcom xv31s2pi8,-0.3125,0.6875,Negative,0.0,0.0,0.0,1.0
110,0,  so whats the status on next weekend,whats status next weekend,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
111,0,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,sorry gigi4462 Husband overdosed daily dose haterade,-0.25,0.5,Negative,-0.0772,0.178,0.0,0.822
112,0,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,Thanks your definition throwbie Editors reviewed your entry have decided publish,0.2,0.2,Positive,0.4404,0.0,0.225,0.775
113,1,"  Thanks, I need all the help i can get.",Thanks need help,0.2,0.2,Positive,0.6808,0.0,0.848,0.152
114,1, - that explains alot.,that explains alot,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
115,1,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.,Theres going Heathers sequel Winona4ever They better fuck,0.04999999999999999,0.55,Positive,-0.1531,0.282,0.234,0.484
116,0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.",told drink just gave porter stout that brought home from neighbors,0.0,0.0,Neutral,0.1779,0.0,0.145,0.855
117,1,  trae is so sweet! He just bought me a new baithing suit!! Wove him ,trae sweet just bought baithing suit Wove,0.35,0.65,Positive,0.4588,0.0,0.333,0.667
118,1,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh",True highly subjective there Tombre actually favorite character book http isgd 13be0 Rishabh,0.33666666666666667,0.73,Positive,0.7003,0.0,0.345,0.655
119,0,  u guys knw whyy,guys whyy,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
120,0,  very much so ,very much,0.26,0.26,Positive,0.0,0.0,0.0,1.0
121,0,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;,waahhh getting sadmiss quotquotquotquotquotquotquotquot,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
122,0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --,were standing pouring rain were sitting world summer sucks,-0.3,0.3,Negative,-0.3612,0.238,0.0,0.762
123,0,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",Went from vets theyve stitched charged still bleeds like waterfall everytime moves,0.0,0.0,Neutral,0.1779,0.126,0.175,0.699
124,0,  where is my picture i feel naked ,where picture feel naked,0.0,0.4,Neutral,0.0,0.0,0.0,1.0
125,0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.,arent there trains going manchester sunday cant jonasbrothers concert,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
126,0, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn,must people picky mean hours work dice what with that http tumblrcom xsg1m3ufn,-0.3125,0.6875,Negative,0.0,0.0,0.0,1.0
127,0,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp,Twitter will soon become obsolete http wwwimediaconnectioncom content 23465asp,0.0,0.0,Neutral,-0.296,0.216,0.0,0.784
128,1,  wide awake   NOT!!!,wide awake,-0.1,0.4,Negative,0.0,0.0,0.0,1.0
129,1,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...,yeah been awful weather here last week that stinks Kristis comin down said mmmaybe take,-0.43888888888888894,0.4638888888888889,Negative,-0.4215,0.26,0.115,0.625
130,0, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,Stranger HELLO FRANK LAMPARD fine urself Stranger Your http tumblrcom xaj24dkly,0.4166666666666667,0.5,Positive,0.2023,0.0,0.153,0.847
131,0,  you'll always be my one and only...  [12*23*2007],youll always only 2007,0.0,1.0,Neutral,0.0,0.0,0.0,1.0
132,0, #3turnoffwords this shit sucks,3turnoffwords this shit sucks,-0.25,0.55,Negative,-0.7269,0.753,0.0,0.247
133,0, #asylm J2 panel is over. Guess it's back to normal life.,asylm panel over Guess back normal life,0.075,0.32499999999999996,Positive,0.0,0.0,0.0,1.0
134,1, #poemsunder140 ....started by @shannonelyse1,poemsunder140 started shannonelyse1,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
135,0, #squarespace brighten my bad day! i never win anything...,squarespace brighten never anything,0.0,0.0,Neutral,0.4404,0.0,0.492,0.508
136,0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!",Susan Boyle didnt well diversity very good though CONGRATZ,0.9099999999999999,0.7800000000000001,Positive,0.3354,0.151,0.266,0.583
137,0, #twenty20,twenty20,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
138,1," &lt;--- That is all, and believe me.. it's enough!",That believe enough,0.0,0.5,Neutral,0.0,0.0,0.0,1.0
139,1, &lt;3 goooood timessss,goooood timessss,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
140,0, &lt;3 GrAdUaTE 09&lt;3,GrAdUaTE 09lt3,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
141,0," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )",quot Vandals paint swastikas home author lesbian church story Naples Daily Newsquot http bitly 11zyzl,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
142,0, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far ,quotAn unknown error occured quot iPhone fail,-0.3,0.44999999999999996,Negative,-0.7351,0.554,0.0,0.446
143,0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,quotexperts homers predict Eagles Giants http wwwdailysportspagescom forums showthreadphpt 49343,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
144,1, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....,quotI know hungry lets outside balcony eatquot,0.0,0.05,Neutral,0.0,0.0,0.0,1.0
145,0, &quot;I want you so bad it's driving me  mad&quot;,quotI want driving madquot,0.0,0.0,Neutral,0.0772,0.0,0.302,0.698
146,1, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...,quotThe Female Internet Entrepreneur Should Know when Starting Growing Business Next Womenquot http tinyurlcom,0.0,0.08888888888888889,Neutral,0.1779,0.0,0.116,0.884
147,1, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke,quotThe truth hiding your eyesquot patita MissMarian Paramore Decode Daninho502 http blipfm 5ytke,0.0,0.0,Neutral,0.0258,0.142,0.148,0.71
148,0, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel),quotTry turn head this feeling inside that just wont admitquot that literally feel,0.0,0.0,Neutral,0.1593,0.0,0.119,0.881
149,0," &quot;well, the truth is I miss you so&quot;- Coldplay",quotwell truth miss soquot Coldplay,0.0,0.0,Neutral,0.1779,0.232,0.333,0.435
150,0, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86,tears Today last with kidsThey summer break their Dads tomorrow sighs http plurkcom x8j86,0.0,0.06666666666666667,Neutral,-0.2263,0.128,0.0,0.872
151,0, (unsure) (annoyed) http://plurk.com/p/1230lz,unsure annoyed http plurkcom 1230lz,-0.4,0.8,Negative,-0.5574,0.605,0.0,0.395
152,0, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc,designrelated designed gallery exhibition postcards mailers going extinct http owly fHJc,-0.4,0.6,Negative,0.0,0.0,0.0,1.0
153,0, *BeautifulyLost,BeautifulyLost,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
154,0,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!,cries going miss Harry Potter when comes leaving Vietnam July 11th going,0.0,0.0,Neutral,-0.5106,0.301,0.0,0.699
155,1,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! ,hummin quotshut your money where your mouth isquot headin reality Cheers Twitter world,0.0,0.0,Neutral,0.4767,0.0,0.205,0.795
156,1,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. ,sigh cant love someone that doesnt love back thats like stalker status divorce ampamp move Trinity,0.3333333333333333,0.39999999999999997,Positive,-0.6293,0.302,0.161,0.537
157,0," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little.",going back because lookin around dont reason awake little,-0.09375,0.25,Negative,0.0,0.0,0.0,1.0
158,1,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . ",Aiqht Goodniqht Neena Malcolm Chaise JLew lt333 Love Much,0.35,0.4,Positive,0.6369,0.0,0.344,0.656
159,1,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*,Triiiiiii even Chaise doesnt dies laughter,0.0,0.0,Neutral,-0.3875,0.345,0.0,0.655
160,0, .. i wantt hiim soo badd !!,wantt hiim badd,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
161,0," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend",watching shopping trent hopefully need best friend,1.0,0.3,Positive,0.8779,0.0,0.716,0.284
162,0, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,weird encounters with many homeless creeps walk home tonight myself awesome really,0.3,0.675,Positive,0.5267,0.108,0.259,0.633
163,0, ... Rained out truck race,Rained truck race,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
164,0, ... Why am I feeling worse??? F!!!,feeling worse,-0.4,0.6,Negative,-0.3818,0.674,0.326,0.0
165,0, .... Feeling pain and happiness at the same time. How confusing!,Feeling pain happiness same time confusing,0.13333333333333333,0.2416666666666667,Positive,-0.0258,0.423,0.415,0.163
166,1, ..... hot choco is the best!,choco best,1.0,0.3,Positive,0.6369,0.0,0.808,0.192
167,0, ....in a shirt and panties. celulite,shirt panties celulite,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
168,0, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...,turn back North body line missing Design Council Design Tech Transfer event http bitly pXrzV,-0.1,0.025,Negative,-0.296,0.136,0.0,0.864
169,0, ..y everything is so hard? :/,everything hard,-0.2916666666666667,0.5416666666666666,Negative,-0.1027,0.583,0.0,0.417
170,0, .bueno good bye. good night,bueno good good night,0.7,0.6000000000000001,Positive,0.7003,0.0,0.744,0.256
171,1, : Beach day with Scoobs. =( : Still no phone.,Beach with Scoobs Still phone,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
172,0," : Let's have fun,. When I give ya what I give ya.",Lets have When give what give,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
